service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
4,0,0,0,0,1,0,0,20250307,20250530
77,0,0,0,0,0,0,1,20250309,20250525
83,0,0,0,0,0,0,0,20250317,20250505
86,0,0,0,0,0,0,1,20250309,20250720
92,0,0,0,0,1,0,0,20250307,20250307
116,1,0,0,0,0,0,0,20250310,20250526
117,0,1,0,0,0,0,0,20250311,20250527
118,0,0,1,0,0,0,0,20250312,20250528
119,0,0,0,1,0,0,0,20250306,20250529
120,0,0,0,0,0,1,0,20250308,20250531
121,1,1,1,1,1,0,0,20250306,20251218
122,0,0,0,0,0,1,0,20250308,20251213
123,0,0,0,0,0,0,1,20250309,20251214
179,0,0,0,0,0,1,0,20250308,20250726
180,1,0,0,0,0,0,0,20250310,20250623
181,0,1,0,0,0,0,0,20250311,20250624
182,0,0,1,0,0,0,0,20250312,20250625
183,0,0,0,1,0,0,0,20250306,20250626
184,0,0,0,0,1,0,0,20250307,20250627
185,0,0,0,0,0,0,0,20250414,20250721
186,0,0,0,0,0,0,0,20250415,20250722
187,0,0,0,0,0,0,0,20250416,20250723
188,0,0,0,0,0,0,0,20250417,20250724
189,0,0,0,0,0,0,0,20250418,20250725
190,0,0,0,0,0,0,0,20250317,20250602
