service_id,date,exception_type
83,20250317,1
180,20250317,2
184,20250425,2
186,20250701,1
83,20250505,1
116,20250421,2
182,20250416,2
183,20250417,2
187,20250702,1
188,20250703,1
189,20250425,1
189,20250704,1
116,20250317,2
180,20250505,2
180,20250602,2
181,20250415,2
185,20250630,1
186,20250415,1
186,20250722,1
188,20250424,1
183,20250424,2
184,20250418,2
185,20250707,1
186,20250715,1
190,20250421,1
83,20250421,1
116,20250505,2
180,20250414,2
180,20250421,2
188,20250724,1
189,20250418,1
189,20250718,1
181,20250422,2
182,20250423,2
185,20250414,1
185,20250714,1
187,20250416,1
188,20250417,1
189,20250711,1
185,20250721,1
186,20250422,1
186,20250708,1
187,20250423,1
187,20250709,1
187,20250716,1
187,20250723,1
188,20250710,1
188,20250717,1
189,20250725,1
190,20250317,1
190,20250505,1
190,20250602,1
