route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4434_85716,116,4434_1580,Dublin,301411186-00002-1,1,4434_7778007_72160101,4434_45
4434_85716,117,4434_1581,Dublin,301421186-00003-1,1,4434_7778007_72160101,4434_45
4434_85716,118,4434_1582,Dublin,301431186-00004-1,1,4434_7778007_72160101,4434_45
4434_85716,119,4434_1583,Dublin,301441186-00005-1,1,4434_7778007_72160101,4434_45
4434_85716,4,4434_1584,Dublin,301551186-00006-1,1,4434_7778007_72160101,4434_45
4434_85716,120,4434_1585,Dublin,301664134-00007-1,1,4434_7778007_72070101,4434_50
4434_85725,116,4434_1587,Rathangan,301411027-00002-1,0,4434_7778007_72110101,4434_52
4434_85725,117,4434_1588,Rathangan,301421027-00003-1,0,4434_7778007_72110101,4434_52
4434_85725,118,4434_1589,Rathangan,301431027-00004-1,0,4434_7778007_72110101,4434_52
4434_85714,4,4434_159,Clane,301551107-00006-1,0,4434_7778007_65030101,4434_4
4434_85725,119,4434_1590,Rathangan,301441027-00005-1,0,4434_7778007_72110101,4434_52
4434_85725,4,4434_1591,Rathangan,301551027-00006-1,0,4434_7778007_72110101,4434_52
4434_85725,120,4434_1594,Kildare,301664011-00007-1,0,4434_7778007_72010101,4434_53
4434_85725,120,4434_1595,Dublin,301664080-00007-1,1,4434_7778007_72110101,4434_54
4434_85725,116,4434_1596,Dublin,301411130-00002-1,1,4434_7778007_75030101,4434_54
4434_85725,117,4434_1597,Dublin,301421130-00003-1,1,4434_7778007_75030101,4434_54
4434_85725,118,4434_1598,Dublin,301431130-00004-1,1,4434_7778007_75030101,4434_54
4434_85725,119,4434_1599,Dublin,301441130-00005-1,1,4434_7778007_75030101,4434_54
4434_85714,117,4434_16,Edenderry,301421021-00003-1,0,4434_7778007_72040101,4434_1
4434_85725,4,4434_1600,Dublin,301551130-00006-1,1,4434_7778007_75030101,4434_54
4434_85726,120,4434_1603,Dublin,301664034-00007-1,1,4434_7778007_72050101,4434_56
4434_85726,116,4434_1604,Dublin,301411076-00002-1,1,4434_7778007_75010101,4434_55
4434_85726,117,4434_1605,Dublin,301421076-00003-1,1,4434_7778007_75010101,4434_55
4434_85726,118,4434_1606,Dublin,301431076-00004-1,1,4434_7778007_75010101,4434_55
4434_85726,119,4434_1607,Dublin,301441076-00005-1,1,4434_7778007_75010101,4434_55
4434_85726,4,4434_1608,Dublin,301551076-00006-1,1,4434_7778007_75010101,4434_55
4434_85727,116,4434_1611,Kildare,301411053-00002-1,0,4434_7778007_65060101,4434_57
4434_85727,117,4434_1612,Kildare,301421053-00003-1,0,4434_7778007_65060101,4434_57
4434_85727,118,4434_1613,Kildare,301431053-00004-1,0,4434_7778007_65060101,4434_57
4434_85727,119,4434_1614,Kildare,301441053-00005-1,0,4434_7778007_65060101,4434_57
4434_85727,4,4434_1615,Kildare,301551053-00006-1,0,4434_7778007_65060101,4434_57
4434_85727,120,4434_1616,Out of Service,301664027-00007-1,0,4434_7778007_72110101,4434_58
4434_85727,120,4434_1619,Out of Service,301664053-00007-1,0,4434_7778007_72030101,4434_58
4434_85714,83,4434_162,Edenderry,301317053-00012-1,0,4434_7778007_65040101,4434_1
4434_85727,116,4434_1620,DCU,301411026-00002-1,1,4434_7778007_75030101,4434_59
4434_85727,117,4434_1621,DCU,301421026-00003-1,1,4434_7778007_75030101,4434_59
4434_85727,118,4434_1622,DCU,301431026-00004-1,1,4434_7778007_75030101,4434_59
4434_85727,119,4434_1623,DCU,301441026-00005-1,1,4434_7778007_75030101,4434_59
4434_85727,4,4434_1624,DCU,301551026-00006-1,1,4434_7778007_75030101,4434_59
4434_85728,116,4434_1627,Dublin,301411044-00002-1,1,4434_7778007_72100101,4434_60
4434_85728,117,4434_1628,Dublin,301421044-00003-1,1,4434_7778007_72100101,4434_60
4434_85728,118,4434_1629,Dublin,301431044-00004-1,1,4434_7778007_72100101,4434_60
4434_85728,119,4434_1630,Dublin,301441044-00005-1,1,4434_7778007_72100101,4434_60
4434_85728,4,4434_1631,Dublin,301551044-00006-1,1,4434_7778007_72100101,4434_60
4434_85728,116,4434_1634,Dublin,301411046-00002-1,1,4434_7778007_75040101,4434_61
4434_85728,117,4434_1635,Dublin,301421046-00003-1,1,4434_7778007_75040101,4434_61
4434_85728,118,4434_1636,Dublin,301431046-00004-1,1,4434_7778007_75040101,4434_61
4434_85728,119,4434_1637,Dublin,301441046-00005-1,1,4434_7778007_75040101,4434_61
4434_85728,4,4434_1638,Dublin,301551046-00006-1,1,4434_7778007_75040101,4434_61
4434_85714,77,4434_164,Edenderry,301377053-00001-1,0,4434_7778007_65040101,4434_1
4434_85731,4,4434_1641,Newbridge,301551193-00006-1,0,4434_7778007_65040101,4434_62
4434_85731,120,4434_1642,Newbridge,301664133-00007-1,0,4434_7778007_72060101,4434_63
4434_85729,116,4434_1643,Rathangan,301411081-00002-1,0,4434_7778007_72110101,4434_64
4434_85729,117,4434_1644,Rathangan,301421081-00003-1,0,4434_7778007_72110101,4434_64
4434_85729,118,4434_1645,Rathangan,301431081-00004-1,0,4434_7778007_72110101,4434_64
4434_85729,119,4434_1646,Rathangan,301441081-00005-1,0,4434_7778007_72110101,4434_64
4434_85729,4,4434_1647,Rathangan,301551081-00006-1,0,4434_7778007_72110101,4434_64
4434_85714,120,4434_165,Edenderry,301664079-00007-1,0,4434_7778007_55020101,4434_3
4434_85729,116,4434_1650,Dublin,301411064-00002-1,1,4434_7778007_72160101,4434_65
4434_85729,117,4434_1651,Dublin,301421064-00003-1,1,4434_7778007_72160101,4434_65
4434_85729,118,4434_1652,Dublin,301431064-00004-1,1,4434_7778007_72160101,4434_65
4434_85729,119,4434_1653,Dublin,301441064-00005-1,1,4434_7778007_72160101,4434_65
