route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4452_86289,139,4452_100,Bray (Daly),E209,1,4452_7778018_TxcF6109463-6692-4783-A7F6-C213F927B543,4452_7
4452_86289,139,4452_1004,Bray (Daly),E251,1,4452_7778018_TxcA4D972D7-1FC0-4786-9871-ED5E8A700AE0,4452_7
4452_86289,122,4452_1008,Bray (Daly),E235,1,4452_7778018_Txc0D70C974-0134-431F-BF6F-090427A2708A,4452_7
4452_86289,122,4452_101,Bray (Daly),E204,1,4452_7778018_Txc92C10405-D14F-4392-BBE3-40CC7501F299,4452_8
4452_86289,140,4452_1018,Bray (Daly),E235,1,4452_7778018_Txc2F3ADD8F-7B83-4FDA-87B0-0251CC98949D,4452_7
4452_86289,139,4452_1020,Greystones,E126,1,4452_7778018_Txc01C6951F-7B7E-4317-82F7-9255F5F0F55D,4452_1
4452_86289,141,4452_1021,Bray (Daly),E228,1,4452_7778018_Txc4CCED0C1-E09B-4A22-B917-42858A6503F5,4452_8
4452_86289,130,4452_1031,Bray (Daly),E228,1,4452_7778018_TxcDF7E6574-5288-4A8A-87C2-9C0150579858,4452_8
4452_86289,142,4452_1032,Bray (Daly),E228,1,4452_7778018_TxcE64EA8A5-6D9D-4548-BB2F-E77476A67FBE,4452_8
4452_86289,122,4452_1035,Bray (Daly),E236,1,4452_7778018_Txc7F0CE5AA-A3BF-4B4C-A264-50A335F94B44,4452_8
4452_86289,140,4452_1046,Bray (Daly),E236,1,4452_7778018_TxcF1BA8FFF-FD32-4447-A929-88348CB07505,4452_8
4452_86289,139,4452_1047,Bray (Daly),E252,1,4452_7778018_Txc30915E40-25DC-4499-970C-B8FF881C5CCA,4452_7
4452_86289,141,4452_1057,Greystones,E129,1,4452_7778018_Txc6FD780A8-CFE8-4423-9ED1-4E80F7AA370B,4452_2
4452_86289,130,4452_1062,Greystones,E129,1,4452_7778018_Txc931A18B0-47F5-4CEB-88BA-C2DAB560D120,4452_2
4452_86289,142,4452_1063,Greystones,E129,1,4452_7778018_TxcE132D2C6-BB9B-4A0F-AB35-D9634A9B4135,4452_2
4452_86289,139,4452_1064,Bray (Daly),E253,1,4452_7778018_Txc4B4BB263-AB8E-4EEC-99B8-26859703B2BA,4452_8
