shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
4419_1,53.3346268,-6.2631113,297,6430.946
4419_33,53.3470936556218,-6.29175919164865,385,4374.315
4419_36,53.3476488,-6.2918433,380,4312.261
4419_39,53.2874623564299,-6.37469609087071,2,3.544
4419_39,53.3040721,-6.3641992,217,2953.665
4419_42,53.3509039,-6.2499702,229,3086.879
4419_6,53.2552114,-6.1851699,750,18711.391
4419_4,53.3065624,-6.2512849,450,9776.35
4419_5,53.3278602,-6.2566248,263,3470.024
4419_12,53.3602093,-6.2788115,584,12449.879
4419_56,53.3359464,-6.3132255,534,9381.24
4419_34,53.3470856,-6.2770779,284,3299.693
4419_35,53.3477748072109,-6.29182408352602,377,4298.092
4419_31,53.3489393401475,-6.23939826749709,39,683.946
4419_61,53.3185782,-6.3692214,427,7699.887
4419_2,53.2550499,-6.1807179,218,4316.757
4419_35,53.3471193405195,-6.27905068637787,300,3431.678
4419_43,53.350201,-6.251835,897,14880.924
4419_61,53.3433459,-6.2911155,719,14281.779
4419_62,53.318988,-6.367119,443,7849.301
4419_9,53.2436163,-6.1436953,793,18115.943
4419_60,53.3173276,-6.3700854,405,7540.994
4419_13,53.344965,-6.2591526,914,17235.989
4419_19,53.3314828,-6.3302989,531,8374.659
4419_1,53.3718208,-6.2956662,5,142.499
4419_40,53.2964132788221,-6.3828697743801,191,4086.164
4419_33,53.3184889,-6.3693352,677,11391.193
4419_18,53.3510346,-6.2647164,515,10848.332
4419_6,53.300901,-6.2506103,458,10408.03
4419_5,53.2647603,-6.2107893,555,12687.135
4419_30,53.2980606,-6.3768387,830,14765.13
4419_17,53.3397424,-6.2608169,837,16399.774
4419_37,53.3471608,-6.2800456,308,3498.213
4419_41,53.291983,-6.4026254,136,2678.463
4419_3,53.2597183,-6.2023482,305,9294.968
4419_37,53.3259619,-6.3458557,600,9602.677
4419_39,53.3123002,-6.3632989,294,4118.91
4419_42,53.3487063245273,-6.25754167228866,152,2453.781
4419_13,53.2514268,-6.1572043,101,1490.431
4419_1,53.2608132,-6.2050499,712,17237.504
4419_32,53.3478503,-6.2867358,347,3951.539
4419_22,53.2975779,-6.3776898,21,259.82
4419_38,53.3483715,-6.2298088,616,11568.938
4419_43,53.3077929,-6.3591703,267,3544.983
4419_16,53.251047,-6.1562194,96,1412.262
4419_7,53.3486563,-6.2576417,31,597.157
4419_19,53.3471087,-6.2695995,239,2794.335
4419_27,53.3479314,-6.2913721,274,2932.489
4419_23,53.3468618789528,-6.27365751327528,168,1740.918
4419_24,53.3188548808725,-6.36817303547202,665,11303.226
4419_62,53.2844143,-6.4329561,28,333.437
4419_7,53.2776924,-6.2049041,429,10779.319
4419_8,53.3455155,-6.2577029,59,975.991
4419_31,53.2945993,-6.3851192,852,15267.457
4419_51,53.3005948,-6.3732473,193,2234.919
4419_56,53.3482321471893,-6.26124916984012,826,14188.417
4419_35,53.3187629,-6.3685708,669,11331.66
4419_25,53.318965,-6.3660216,558,9830.54
4419_39,53.3478882,-6.264209,815,13987.495
4419_25,53.3479487,-6.2899452,266,2837.39
4419_27,53.3189293,-6.3675679,566,9933.758
4419_44,53.3351696,-6.3200791,166,4113.925
4419_10,53.2794614214499,-6.21035294276183,546,14273.755
4419_36,53.3186756,-6.3688658,672,11353.598
4419_14,53.343278,-6.2592902,890,17033.683
4419_18,53.2829054,-6.2229457,40,1361.549
4419_18,53.3444648,-6.2596202,438,9657.571
4419_26,53.3467769,-6.2728094,163,1683.645
4419_27,53.3468618789528,-6.27365751327528,168,1740.918
4419_48,53.2977912,-6.3773536,206,4486.885
4419_7,53.3390566,-6.2613147,137,2001.271
4419_32,53.3384785259716,-6.29204785389118,453,5587.648
4419_19,53.3478562,-6.2869143,348,3963.445
4419_12,53.2848783,-6.234342,63,2159.351
4419_39,53.3478207,-6.2851203,738,12569.713
4419_13,53.2548168,-6.1814007,207,3248.483
4419_23,53.3492304,-6.2545263,59,432.972
4419_30,53.3509039,-6.2499702,123,1536.074
4419_31,53.3068036465851,-6.35879703982375,746,12975.784
4419_17,53.2527307,-6.1638057,130,1974.035
4419_50,53.3292856,-6.3338757,463,7688.254
4419_35,53.3010618021009,-6.3722001237634,775,14086.943
4419_25,53.329732,-6.3328175,452,7305.558
4419_41,53.3500460401294,-6.2511892459941,949,17597.814
4419_1,53.2542284,-6.1707783,818,19754.304
4419_29,53.2939001,-6.3848701,77,981.469
4419_15,53.3440134,-6.259292,431,9602.049
4419_14,53.3301387,-6.2582266,707,15122.766
4419_38,53.3494663,-6.2538706,507,9898.081
4419_41,53.3461244,-6.2916896,734,14594.921
4419_51,53.3501217031367,-6.2514928240564,900,14905.361
4419_16,53.2549951,-6.1807655,202,3201.58
4419_5,53.2558613,-6.17841,661,15296.37
4419_31,53.3395533080338,-6.29071501159928,437,5420.322
4419_36,53.3005858371467,-6.37319102344303,778,14171.689
4419_39,53.3189924,-6.366234,400,5237.744
4419_42,53.347799,-6.2849166,46,596.177
4419_6,53.3310538,-6.2588939,352,6989.778
4419_51,53.3131295,-6.3644429,299,4238.639
4419_60,53.3292952827183,-6.33385423816805,511,10360.594
4419_3,53.2726573,-6.200665,199,7279.328
4419_44,53.3196105,-6.3637587,60,616.509
4419_47,53.3174801,-6.3701383,7,85.186
4419_62,53.3473226,-6.2683704,841,16373.509
4419_52,53.3152002,-6.3666505,315,4512.223
4419_22,53.2845161443764,-6.43640711237155,130,4618.199
4419_61,53.3468421846942,-6.27314599869583,825,16049.008
4419_21,53.2845052857983,-6.42276728266875,114,4493.225
4419_33,53.3343037,-6.3269969,491,7963.73
4419_38,53.3276212,-6.3397122,95,2453.022
4419_50,53.3377667,-6.2988951,569,10358.825
4419_12,53.3163927474371,-6.25344785622373,169,6038.914
4419_41,53.3473386,-6.2682035,843,16384.767
4419_35,53.3481083,-6.2621667,194,2286.266
4419_30,53.3485697,-6.2333537,17,279.241
4419_43,53.3470846,-6.2699937,791,13591.645
4419_31,53.3477021,-6.2844689,331,3799.21
4419_39,53.3414847,-6.2929088,632,11277.405
4419_15,53.2793746,-6.2101802,16,418.841
4419_47,53.3479163,-6.2878057,376,7587.934
4419_52,53.3030759,-6.3672278,209,2723.288
4419_14,53.3372895,-6.2628574,813,16094.215
4419_50,53.3496353,-6.2527628,875,14777.956
4419_13,53.3366333,-6.2631704,808,16018.246
4419_50,53.3165612,-6.3697852,354,4782.833
4419_20,53.287305,-6.3761804,169,2741.873
4419_13,53.2751461,-6.2033836,439,7205.146
4419_56,53.3176168,-6.3701497,365,4903.066
4419_30,53.28742,-6.3767119,953,16472.874
4419_38,53.3342017,-6.327934,155,3579.586
4419_41,53.3159668,-6.3690781,382,7368.472
4419_2,53.2730074,-6.2012028,49,677.311
4419_13,53.3721805495321,-6.29750664133776,1083,21899.3
4419_36,53.3415322337054,-6.29264091849706,426,5140.112
4419_31,53.3495774,-6.2486974,85,1307.444
4419_37,53.3495774,-6.2527849,139,1637.698
4419_6,53.2615162,-6.206993,704,17086.031
4419_40,53.2842319,-6.4250169,68,881.157
4419_24,53.2992681173341,-6.37475475826542,788,14354.276
4419_43,53.3479744,-6.2895713,728,12272.768
4419_62,53.3267628,-6.3431185,489,9679.885
4419_9,53.2550339168736,-6.18444190316152,624,14855.868
4419_25,53.2890884,-6.3784746,804,14705.571
4419_36,53.3476912260768,-6.26527915523725,211,2498.999
4419_34,53.3315788,-6.3302118,530,8362.5
4419_61,53.3485612669751,-6.25848266564755,888,17046.932
4419_56,53.2910977462691,-6.38104121449035,73,652.715
4419_5,53.3512958,-6.2586565,17,294.341
4419_23,53.2844685707692,-6.43315357276046,812,17438.315
4419_14,53.3327734,-6.2618877,767,15553.456
4419_41,53.2860998,-6.4212189,90,1240.128
4419_62,53.3492125,-6.2547137,904,17308.368
4419_50,53.3478882,-6.264209,815,13987.495
4419_10,53.3543923,-6.2718101,85,2941.289
4419_32,53.3498515,-6.2498353,101,1392.086
4419_33,53.3495774,-6.2527849,139,1637.698
4419_36,53.2934254108438,-6.39589325261492,841,15927.588
4419_28,53.342523031261,-6.29334342018355,413,4993.868
4419_10,53.328881,-6.2571319,377,7259.383
4419_47,53.3478534,-6.2918207,359,7316.458
4419_37,53.3026682632919,-6.36836950801764,769,13774.834
4419_41,53.2845021,-6.4346435,13,215.456
4419_52,53.3491235,-6.2550944,853,14610.592
4419_32,53.2877551,-6.3773109,914,16201.386
4419_16,53.2607817,-6.2050655,265,4985.544
4419_50,53.3353620805034,-6.31827715566762,523,9038.463
4419_24,53.3341618099604,-6.32799872960944,496,8032.322
4419_12,53.3365747,-6.2631886,338,8497.291
4419_43,53.3256489,-6.3469757,436,6723.946
4419_13,53.261096742313,-6.20591011097418,270,5051.935
4419_35,53.2936669446472,-6.3947861816842,838,15849.023
4419_17,53.2716987,-6.2014381,376,6667.156
4419_6,53.3359084,-6.263275,289,6287.746
4419_62,53.3494205,-6.2458786,981,17965.43
4419_35,53.3298745,-6.3325024,546,8607.499
4419_25,53.3315788,-6.3302118,435,7034.249
4419_44,53.3461945,-6.2917159,335,7129.768
4419_62,53.2973044,-6.3787629,197,4377.416
4419_56,53.3471581533259,-6.29181965185593,703,12040.213
4419_51,53.2873009,-6.3763693,24,119.919
4419_34,53.350077032122,-6.25157632007569,115,1513.888
4419_15,53.3397424,-6.2608169,368,8885.452
4419_17,53.3256413,-6.2560228,668,14596.755
4419_61,53.3034966,-6.3659107,258,5493.35
4419_25,53.3415228921788,-6.29289908133791,329,3794.4
4419_60,53.3004752,-6.3733591,236,4890.152
4419_28,53.3490421,-6.2406407,44,767.477
4419_50,53.2874623564299,-6.37469609087071,2,3.544
4419_4,53.3373396,-6.2627834,281,6124.458
4419_5,53.2521605,-6.1584932,724,16707.629
4419_32,53.3331399,-6.3291578,516,8174.809
4419_19,53.3168742188222,-6.36985406167901,700,11587.079
4419_33,53.347568,-6.2661033,216,2555.585
4419_28,53.3477821,-6.2850523,336,3839.142
4419_30,53.3208407,-6.3602541,661,10935.126
4419_38,53.3474142,-6.2673511,447,8969.069
4419_41,53.347154,-6.2794667,797,15624.425
4419_34,53.2873563,-6.3764737,928,16274.076
4419_46,53.287256,-6.3758225,16,82.935
4419_18,53.3523785,-6.2619802,501,10612.239
4419_62,53.2864098,-6.4208423,91,1282.803
4419_13,53.2550292,-6.1742625,161,2718.533
4419_27,53.350179299851,-6.25220947329817,28,230.188
4419_51,53.3299937,-6.3323322,468,7817.827
4419_32,53.3470856,-6.2770779,284,3299.693
4419_19,53.3329711,-6.3292671,517,8194.957
