route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4419_48886,113,4419_2440,Broombridge,132.Sat.93-GRN-y11-1,1,4419_7778148_Txc104757,4419_13
4419_48886,114,4419_2441,Broombridge,132.gf.93-GRN-y11-16,1,4419_7778148_Txc104759,4419_13
4419_48886,112,4419_2442,Broombridge,188.MF-BH.93-GRN-y11,1,4419_7778148_Txc104970,4419_13
4419_48886,113,4419_2445,Broombridge,133.Sat.93-GRN-y11-1,1,4419_7778148_Txc104761,4419_13
4419_48886,114,4419_2446,Broombridge,133.gf.93-GRN-y11-16,1,4419_7778148_Txc104763,4419_13
4419_48886,112,4419_2447,Broombridge,189.MF-BH.93-GRN-y11,1,4419_7778148_Txc104973,4419_13
4419_48886,114,4419_245,Brides Glen,156.gf.93-GRN-y11-16,0,4419_7778148_Txc104863,4419_5
4419_48886,113,4419_2450,Broombridge,134.Sat.93-GRN-y11-1,1,4419_7778148_Txc104765,4419_13
4419_48886,114,4419_2451,Broombridge,134.gf.93-GRN-y11-16,1,4419_7778148_Txc104767,4419_13
4419_48886,112,4419_2452,Broombridge,190.MF-BH.93-GRN-y11,1,4419_7778148_Txc104980,4419_13
4419_48887,112,4419_2461,Tallaght,235.MF-BH.93-RED-y11,0,4419_7778148_Txc109716,4419_32
4419_48887,112,4419_2462,Tallaght,230.MF-BH.93-RED-y11,0,4419_7778148_Txc109696,4419_20
4419_48887,112,4419_2463,Saggart,231.MF-BH.93-RED-y11,0,4419_7778148_Txc109700,4419_21
4419_48887,112,4419_2464,Tallaght,239.MF-BH.93-RED-y11,0,4419_7778148_Txc109732,4419_32
4419_48887,112,4419_2465,Tallaght,232.MF-BH.93-RED-y11,0,4419_7778148_Txc109704,4419_20
4419_48887,112,4419_2466,Saggart,233.MF-BH.93-RED-y11,0,4419_7778148_Txc109708,4419_22
4419_48887,112,4419_2467,Saggart,234.MF-BH.93-RED-y11,0,4419_7778148_Txc109712,4419_21
4419_48887,112,4419_2468,Tallaght,244.MF-BH.93-RED-y11,0,4419_7778148_Txc109756,4419_32
4419_48887,112,4419_2469,Saggart,236.MF-BH.93-RED-y11,0,4419_7778148_Txc109720,4419_22
4419_48887,112,4419_2470,Tallaght,237.MF-BH.93-RED-y11,0,4419_7778148_Txc109724,4419_20
